step,alive,fused_us
452,1000000,419.192
453,1000000,378.026
454,1000000,470.499
455,1000000,383.348
456,1000000,399.714
457,1000000,403.127
458,1000000,466.282
459,1000000,401.420
460,1000000,460.559
461,1000000,384.953
462,1000000,389.171
463,1000000,386.962
464,1000000,401.922
465,1000000,401.722
466,1000000,386.460
467,1000000,448.008
468,1000000,377.926
469,1000000,397.705
470,1000000,483.251
471,1000000,422.506
472,1000000,392.484
473,1000000,405.336
474,1000000,391.079
475,1000000,386.158
476,1000000,413.067
477,1000000,394.091
478,1000000,408.850
479,1000000,432.043
480,1000000,398.509
481,1000000,391.380
482,1000000,388.869
483,1000000,486.463
484,1000000,389.171
485,1000000,401.721
486,1000000,447.507
487,1000000,399.814
488,1000000,379.934
489,1000000,380.335
490,1000000,410.959
491,1000000,448.310
492,1000000,439.775
493,1000000,386.661
494,1000000,378.829
495,1000000,463.772
496,1000000,440.578
497,1000000,465.077
498,1000000,392.585
499,1000000,407.043
500,1000000,403.127
501,1000000,439.473
502,1000000,390.275
503,1000000,398.207
504,1000000,451.121
505,1000000,384.953
506,1000000,437.666
507,1000000,397.706
508,1000000,384.050
509,1000000,468.893
510,1000000,388.066
511,1000000,435.658
512,1000000,444.896
513,1000000,425.920
514,1000000,387.966
515,1000000,431.441
516,1000000,413.971
517,1000000,407.746
518,1000000,393.790
519,1000000,396.701
520,1000000,406.842
521,1000000,423.007
522,1000000,382.946
523,1000000,454.434
524,1000000,388.167
525,1000000,413.770
526,1000000,406.843
527,1000000,472.105
528,1000000,403.428
529,1000000,405.437
530,1000000,444.695
531,1000000,453.832
532,1000000,393.690
533,1000000,390.175
534,1000000,458.752
535,1000000,471.603
536,1000000,468.390
537,1000000,395.196
538,1000000,411.862
539,1000000,485.158
540,1000000,439.374
541,1000000,403.428
542,1000000,461.061
543,1000000,388.669
544,1000000,454.836
545,1000000,398.107
546,1000000,385.556
547,1000000,399.714
548,1000000,444.494
549,1000000,382.142
550,1000000,380.134
551,1000000,433.148
552,1000000,420.898
553,1000000,388.468
554,1000000,436.260
555,1000000,400.718
556,1000000,406.843
557,1000000,391.279
558,1000000,379.933
559,1000000,393.388
560,1000000,398.408
561,1000000,403.830
562,1000000,417.184
563,1000000,384.552
564,1000000,407.243
565,1000000,404.433
566,1000000,463.371
567,1000000,472.607
568,1000000,390.275
569,1000000,445.398
570,1000000,385.557
571,1000000,396.601
572,1000000,394.994
573,1000000,406.842
574,1000000,397.404
575,1000000,477.929
576,1000000,401.420
577,1000000,409.754
578,1000000,430.537
579,1000000,469.897
580,1000000,409.453
581,1000000,412.164
582,1000000,441.582
583,1000000,468.290
584,1000000,409.352
585,1000000,395.195
586,1000000,568.997
587,1000000,465.178
588,1000000,405.436
589,1000000,397.705
590,1000000,442.587
591,1000000,471.503
592,1000000,403.529
593,1000000,409.553
594,1000000,448.108
595,1000000,390.275
596,1000000,406.641
597,1000000,397.405
598,1000000,438.670
599,1000000,377.624
600,1000000,475.419
601,1000000,379.732
602,1000000,396.099
603,1000000,399.312
604,1000000,521.003
605,1000000,397.806
606,1000000,413.469
607,1000000,395.497
608,1000000,391.580
609,1000000,403.428
610,1000000,383.047
611,1000000,390.476
612,1000000,418.489
613,1000000,463.470
614,1000000,385.355
615,1000000,392.083
616,1000000,457.547
617,1000000,418.891
618,1000000,456.241
619,1000000,399.312
620,1000000,400.818
621,1000000,453.029
622,1000000,392.082
623,1000000,385.456
624,1000000,400.015
625,1000000,407.344
626,1000000,384.452
627,1000000,387.966
628,1000000,396.501
629,1000000,440.779
630,1000000,393.589
631,1000000,433.751
632,1000000,394.994
633,1000000,409.353
634,1000000,463.872
635,1000000,397.304
636,1000000,458.149
637,1000000,400.818
638,1000000,391.882
639,1000000,400.216
640,1000000,438.269
641,1000000,391.782
642,1000000,388.668
643,1000000,398.307
644,1000000,399.814
645,1000000,400.416
646,1000000,410.758
647,1000000,472.206
648,1000000,399.814
649,1000000,384.753
650,1000000,387.966
651,1000000,434.554
652,1000000,434.353
653,1000000,404.532
654,1000000,398.308
655,1000000,491.484
656,1000000,404.934
657,1000000,392.785
658,1000000,420.899
659,1000000,481.544
660,1000000,414.473
661,1000000,439.876
662,1000000,390.074
663,1000000,444.895
664,1000000,398.308
665,1000000,396.500
666,1000000,383.548
667,1000000,393.890
668,1000000,390.174
669,1000000,469.997
670,1000000,396.702
671,1000000,392.785
672,1000000,450.719
673,1000000,406.341
674,1000000,384.853
675,1000000,387.664
676,1000000,430.437
677,1000000,461.663
678,1000000,399.011
679,1000000,388.970
680,1000000,395.998
681,1000000,431.442
682,1000000,456.743
683,1000000,411.561
684,1000000,402.725
685,1000000,406.340
686,1000000,453.129
687,1000000,434.052
688,1000000,389.472
689,1000000,414.774
690,1000000,458.852
691,1000000,387.665
692,1000000,385.054
693,1000000,396.400
694,1000000,451.222
695,1000000,392.986
696,1000000,461.663
697,1000000,408.649
698,1000000,415.979
699,1000000,392.986
700,1000000,421.200
701,1000000,438.972
702,1000000,397.203
703,1000000,458.049
704,1000000,391.380
705,1000000,393.388
706,1000000,394.292
707,1000000,410.156
708,1000000,405.034
709,1000000,439.776
710,1000000,401.320
711,1000000,417.084
712,1000000,476.724
713,1000000,465.379
714,1000000,393.890
715,1000000,436.160
716,1000000,405.135
717,1000000,400.316
718,1000000,416.882
719,1000000,393.589
720,1000000,399.613
721,1000000,472.307
722,1000000,402.826
723,1000000,384.151
724,1000000,400.617
725,1000000,458.652
726,1000000,396.299
727,1000000,414.473
728,1000000,410.255
729,1000000,469.394
730,1000000,394.291
731,1000000,388.468
732,1000000,422.606
733,1000000,462.266
734,1000000,460.257
735,1000000,393.889
736,1000000,394.894
737,1000000,451.221
738,1000000,470.398
739,1000000,388.769
740,1000000,410.858
741,1000000,393.388
742,1000000,393.589
743,1000000,389.874
744,1000000,386.862
745,1000000,408.248
746,1000000,439.474
747,1000000,446.402
748,1000000,406.842
749,1000000,407.445
750,1000000,444.595
751,1000000,385.456
752,1000000,388.569
753,1000000,394.292
754,1000000,454.233
755,1000000,410.959
756,1000000,393.790
757,1000000,390.376
758,1000000,392.283
759,1000000,415.075
760,1000000,395.798
761,1000000,458.852
762,1000000,392.886
763,1000000,392.986
764,1000000,407.243
765,1000000,416.280
766,1000000,389.974
767,1000000,389.572
768,1000000,432.044
769,1000000,471.202
770,1000000,389.673
771,1000000,456.241
772,1000000,444.996
773,1000000,462.567
774,1000000,470.098
775,1000000,393.187
776,1000000,391.581
777,1000000,456.141
778,1000000,437.667
779,1000000,396.501
780,1000000,408.147
781,1000000,386.259
782,1000000,399.211
783,1000000,457.447
784,1000000,401.721
785,1000000,402.224
786,1000000,454.032
787,1000000,385.054
788,1000000,392.083
789,1000000,397.806
790,1000000,415.477
791,1000000,389.975
792,1000000,456.944
793,1000000,417.284
794,1000000,457.948
795,1000000,399.011
796,1000000,472.909
797,1000000,376.018
798,1000000,434.454
799,1000000,391.079
800,1000000,386.159
801,1000000,478.632
802,1000000,408.348
803,1000000,382.644
804,1000000,408.649
805,1000000,441.080
806,1000000,412.867
807,1000000,464.575
808,1000000,379.933
809,1000000,405.035
810,1000000,393.387
811,1000000,454.836
812,1000000,395.095
813,1000000,390.978
814,1000000,389.874
815,1000000,444.595
816,1000000,400.216
817,1000000,396.500
