step,alive,fused_us
603,1000000,495.406
604,1000000,450.524
605,1000000,450.524
606,1000000,450.024
607,1000000,442.710
608,1000000,439.905
609,1000000,464.750
610,1000000,543.895
611,1000000,432.993
612,1000000,426.280
613,1000000,509.932
614,1000000,499.914
615,1000000,439.003
616,1000000,498.112
617,1000000,475.470
618,1000000,449.823
619,1000000,504.724
620,1000000,468.657
621,1000000,523.157
622,1000000,441.507
623,1000000,463.148
624,1000000,445.816
625,1000000,446.316
626,1000000,450.524
627,1000000,468.657
628,1000000,453.529
629,1000000,446.016
630,1000000,470.461
631,1000000,518.348
632,1000000,438.001
633,1000000,453.329
634,1000000,475.570
635,1000000,441.307
636,1000000,425.278
637,1000000,436.399
638,1000000,519.049
639,1000000,542.292
640,1000000,438.202
641,1000000,466.553
642,1000000,515.944
643,1000000,442.309
644,1000000,447.118
645,1000000,465.953
646,1000000,489.696
647,1000000,435.797
648,1000000,466.153
649,1000000,446.617
650,1000000,452.528
651,1000000,481.681
652,1000000,499.714
653,1000000,475.770
654,1000000,483.585
655,1000000,466.553
656,1000000,476.972
657,1000000,468.256
658,1000000,470.762
659,1000000,495.306
660,1000000,443.011
661,1000000,443.311
662,1000000,446.617
663,1000000,445.215
664,1000000,525.762
665,1000000,441.107
666,1000000,473.066
667,1000000,528.166
668,1000000,448.621
669,1000000,487.492
670,1000000,480.679
671,1000000,493.203
672,1000000,454.331
673,1000000,504.422
674,1000000,446.216
675,1000000,516.144
676,1000000,439.504
677,1000000,524.159
678,1000000,445.315
679,1000000,451.827
680,1000000,444.313
681,1000000,487.592
682,1000000,447.819
683,1000000,476.972
684,1000000,454.031
685,1000000,505.725
686,1000000,437.801
687,1000000,513.439
688,1000000,521.253
689,1000000,442.910
690,1000000,448.921
691,1000000,539.787
692,1000000,468.858
693,1000000,446.516
694,1000000,452.026
695,1000000,523.658
696,1000000,483.084
697,1000000,442.609
698,1000000,504.523
699,1000000,449.924
700,1000000,433.092
701,1000000,480.379
702,1000000,434.294
703,1000000,458.338
704,1000000,437.801
705,1000000,437.601
706,1000000,536.481
707,1000000,471.162
708,1000000,519.551
709,1000000,447.319
710,1000000,464.049
711,1000000,492.601
712,1000000,465.852
713,1000000,433.292
714,1000000,461.144
715,1000000,525.361
716,1000000,520.652
717,1000000,437.700
718,1000000,502.420
719,1000000,529.568
720,1000000,437.901
721,1000000,503.221
722,1000000,455.433
723,1000000,467.155
724,1000000,436.097
725,1000000,512.638
726,1000000,441.007
727,1000000,428.484
728,1000000,436.598
729,1000000,525.361
730,1000000,443.612
731,1000000,445.816
732,1000000,435.196
733,1000000,531.272
734,1000000,441.207
735,1000000,453.029
736,1000000,517.246
737,1000000,467.355
738,1000000,428.483
739,1000000,508.931
740,1000000,484.988
741,1000000,534.577
742,1000000,448.921
743,1000000,513.239
744,1000000,503.020
745,1000000,462.846
746,1000000,513.740
747,1000000,454.732
748,1000000,464.550
749,1000000,506.426
750,1000000,433.794
751,1000000,436.097
752,1000000,447.419
753,1000000,452.928
754,1000000,490.297
755,1000000,446.717
756,1000000,525.160
757,1000000,447.319
758,1000000,441.908
759,1000000,501.216
760,1000000,471.863
761,1000000,429.286
762,1000000,449.422
763,1000000,487.892
764,1000000,525.962
765,1000000,437.100
766,1000000,438.702
767,1000000,540.890
768,1000000,462.146
769,1000000,437.600
770,1000000,452.728
771,1000000,449.622
772,1000000,536.081
773,1000000,444.213
774,1000000,445.215
775,1000000,441.407
776,1000000,528.066
777,1000000,455.633
778,1000000,439.003
779,1000000,530.470
780,1000000,445.715
781,1000000,507.929
782,1000000,441.207
783,1000000,452.528
784,1000000,506.727
785,1000000,459.942
786,1000000,431.790
787,1000000,444.112
788,1000000,509.432
789,1000000,473.968
790,1000000,456.935
791,1000000,511.435
792,1000000,550.207
793,1000000,462.846
794,1000000,475.270
795,1000000,456.936
796,1000000,477.975
797,1000000,486.390
798,1000000,454.532
799,1000000,460.342
800,1000000,485.287
801,1000000,449.222
802,1000000,429.586
803,1000000,463.147
804,1000000,451.726
805,1000000,460.242
806,1000000,485.288
807,1000000,632.056
808,1000000,463.448
809,1000000,495.406
810,1000000,486.389
811,1000000,518.048
812,1000000,458.839
813,1000000,445.315
814,1000000,454.031
815,1000000,512.437
816,1000000,436.698
817,1000000,456.335
818,1000000,456.735
819,1000000,524.760
820,1000000,434.094
821,1000000,462.445
822,1000000,478.976
823,1000000,462.446
824,1000000,449.322
825,1000000,467.956
826,1000000,535.780
827,1000000,456.435
828,1000000,452.327
829,1000000,522.856
830,1000000,491.699
831,1000000,445.415
832,1000000,448.320
833,1000000,464.950
834,1000000,518.448
835,1000000,436.398
836,1000000,523.558
837,1000000,463.448
838,1000000,459.641
839,1000000,463.848
840,1000000,518.349
841,1000000,480.679
842,1000000,466.553
843,1000000,435.297
844,1000000,520.352
845,1000000,465.752
846,1000000,453.730
847,1000000,464.850
848,1000000,457.136
849,1000000,427.582
850,1000000,440.005
851,1000000,459.941
852,1000000,439.504
853,1000000,485.488
854,1000000,458.739
855,1000000,453.029
856,1000000,453.429
857,1000000,518.248
858,1000000,448.821
859,1000000,493.803
860,1000000,476.271
861,1000000,536.982
862,1000000,436.198
863,1000000,540.889
864,1000000,456.735
865,1000000,439.905
866,1000000,444.212
867,1000000,499.814
868,1000000,452.628
869,1000000,439.103
870,1000000,442.309
871,1000000,531.773
872,1000000,439.304
873,1000000,480.579
874,1000000,538.986
875,1000000,435.296
876,1000000,439.504
877,1000000,519.350
878,1000000,529.368
879,1000000,436.498
880,1000000,510.033
881,1000000,534.178
882,1000000,437.400
883,1000000,465.051
884,1000000,522.155
