step,alive,fused_us
939,1000000,3045.439
940,1000000,3042.628
941,1000000,3082.390
942,1000000,3066.625
943,1000000,3113.216
944,1000000,3257.606
945,1000000,3023.449
946,1000000,3029.474
947,1000000,3015.316
948,1000000,3027.566
949,1000000,3022.947
950,1000000,3012.906
951,1000000,3062.709
952,1000000,3070.743
953,1000000,3041.524
954,1000000,3041.925
955,1000000,3145.347
956,1000000,3158.601
957,1000000,3155.187
958,1000000,3147.456
959,1000000,3184.005
960,1000000,3151.572
961,1000000,3036.202
962,1000000,3018.931
963,1000000,3051.163
964,1000000,3025.558
965,1000000,3016.621
966,1000000,3022.646
967,1000000,3039.916
968,1000000,3066.024
969,1000000,3041.524
970,1000000,3032.787
971,1000000,3061.605
972,1000000,3011.500
973,1000000,3039.415
974,1000000,3069.237
975,1000000,3065.019
976,1000000,3219.752
977,1000000,3032.084
978,1000000,3042.125
979,1000000,3046.845
980,1000000,3021.944
981,1000000,3023.148
982,1000000,3045.540
983,1000000,3021.943
984,1000000,3077.069
985,1000000,3026.161
986,1000000,3049.455
987,1000000,3041.925
988,1000000,3018.429
989,1000000,3060.601
990,1000000,3057.288
991,1000000,3156.091
992,1000000,3164.727
993,1000000,3096.949
994,1000000,3058.894
995,1000000,3023.349
996,1000000,3033.692
997,1000000,3032.186
998,1000000,3102.773
999,1000000,3150.067
1000,1000000,3080.181
1001,1000000,3049.857
1002,1000000,3043.030
1003,1000000,3048.451
1004,1000000,3091.126
1005,1000000,3121.952
1006,1000000,3184.006
1007,1000000,3150.769
1008,1000000,3295.561
1009,1000000,3055.982
1010,1000000,3019.533
1011,1000000,3035.800
1012,1000000,3057.488
1013,1000000,3029.574
1014,1000000,3020.839
1015,1000000,3018.831
1016,1000000,3089.620
1017,1000000,3046.142
1018,1000000,3047.447
1019,1000000,3077.570
1020,1000000,3180.792
1021,1000000,3140.226
1022,1000000,3147.657
1023,1000000,3141.934
1024,1000000,3106.087
1025,1000000,3043.431
1026,1000000,3040.721
1027,1000000,3026.864
1028,1000000,3115.124
1029,1000000,3141.432
1030,1000000,3159.806
1031,1000000,3172.057
1032,1000000,3097.653
1033,1000000,3020.839
1034,1000000,3001.761
1035,1000000,3021.843
1036,1000000,3063.714
1037,1000000,3053.673
1038,1000000,3070.341
1039,1000000,3160.811
1040,1000000,3224.872
1041,1000000,3033.190
1042,1000000,3024.554
1043,1000000,3039.817
1044,1000000,3041.323
1045,1000000,3052.569
1046,1000000,3057.388
1047,1000000,3124.462
1048,1000000,3102.071
1049,1000000,3031.081
1050,1000000,3055.481
1051,1000000,3014.413
1052,1000000,3027.767
1053,1000000,3024.252
1054,1000000,3064.919
1055,1000000,3039.214
1056,1000000,3122.253
1057,1000000,3037.306
1058,1000000,3067.328
1059,1000000,3148.360
1060,1000000,3160.208
1061,1000000,3171.253
1062,1000000,3196.858
1063,1000000,3149.564
1064,1000000,3094.448
1065,1000000,3026.066
1066,1000000,3068.943
1067,1000000,3042.434
1068,1000000,3045.446
1069,1000000,3179.499
1070,1000000,3180.604
1071,1000000,3118.247
1072,1000000,3307.325
1073,1000000,3087.219
1074,1000000,3023.557
1075,1000000,3026.469
1076,1000000,3041.932
1077,1000000,3027.674
1078,1000000,3044.844
1079,1000000,3055.287
1080,1000000,3068.643
1081,1000000,3024.561
1082,1000000,3015.424
1083,1000000,3052.074
1084,1000000,3055.889
1085,1000000,3035.706
1086,1000000,3120.858
1087,1000000,3159.919
1088,1000000,3182.009
1089,1000000,3010.202
1090,1000000,3016.829
1091,1000000,3019.540
